Specificity,Sensitivity,Threshold,Model,Outcome,FPR,Model_Type
0.1651821862348178,0.983739837398374,0.2071473821997642,Fundus,Glaucoma+Suspect vs Healthy,0.8348178137651822,Unimodal
0.1659919028340081,0.983739837398374,0.2072917968034744,Fundus,Glaucoma+Suspect vs Healthy,0.8340080971659919,Unimodal
0.16761133603238867,0.983739837398374,0.20751524716615677,Fundus,Glaucoma+Suspect vs Healthy,0.8323886639676114,Unimodal
0.16842105263157894,0.983739837398374,0.2078334093093872,Fundus,Glaucoma+Suspect vs Healthy,0.8315789473684211,Unimodal
0.16923076923076924,0.983739837398374,0.2080538123846054,Fundus,Glaucoma+Suspect vs Healthy,0.8307692307692307,Unimodal
0.1700404858299595,0.983739837398374,0.2083291411399841,Fundus,Glaucoma+Suspect vs Healthy,0.8299595141700404,Unimodal
0.1708502024291498,0.983739837398374,0.20858295261859888,Fundus,Glaucoma+Suspect vs Healthy,0.8291497975708502,Unimodal
0.17165991902834007,0.983739837398374,0.20864452421665192,Fundus,Glaucoma+Suspect vs Healthy,0.8283400809716599,Unimodal
0.17246963562753037,0.983739837398374,0.20870471000671387,Fundus,Glaucoma+Suspect vs Healthy,0.8275303643724696,Unimodal
0.17327935222672064,0.983739837398374,0.20889648050069803,Fundus,Glaucoma+Suspect vs Healthy,0.8267206477732794,Unimodal
0.17408906882591094,0.983739837398374,0.2093894630670547,Fundus,Glaucoma+Suspect vs Healthy,0.8259109311740891,Unimodal
0.1748987854251012,0.983739837398374,0.20988394320011133,Fundus,Glaucoma+Suspect vs Healthy,0.8251012145748988,Unimodal
0.1757085020242915,0.983739837398374,0.21024561673402786,Fundus,Glaucoma+Suspect vs Healthy,0.8242914979757086,Unimodal
0.17651821862348177,0.983739837398374,0.2104434296488762,Fundus,Glaucoma+Suspect vs Healthy,0.8234817813765183,Unimodal
0.17732793522267207,0.983739837398374,0.21051789820194244,Fundus,Glaucoma+Suspect vs Healthy,0.8226720647773279,Unimodal
0.17813765182186234,0.983739837398374,0.21058758348226544,Fundus,Glaucoma+Suspect vs Healthy,0.8218623481781376,Unimodal
0.17894736842105263,0.983739837398374,0.2107301130890846,Fundus,Glaucoma+Suspect vs Healthy,0.8210526315789474,Unimodal
0.1797570850202429,0.983739837398374,0.21101681143045425,Fundus,Glaucoma+Suspect vs Healthy,0.8202429149797571,Unimodal
0.1805668016194332,0.983739837398374,0.2111944183707237,Fundus,Glaucoma+Suspect vs Healthy,0.8194331983805668,Unimodal
0.1813765182186235,0.983739837398374,0.2113152667880058,Fundus,Glaucoma+Suspect vs Healthy,0.8186234817813764,Unimodal
0.18218623481781376,0.983739837398374,0.2114325389266014,Fundus,Glaucoma+Suspect vs Healthy,0.8178137651821862,Unimodal
0.18299595141700406,0.983739837398374,0.21146651357412335,Fundus,Glaucoma+Suspect vs Healthy,0.8170040485829959,Unimodal
0.18380566801619433,0.983739837398374,0.2117182239890098,Fundus,Glaucoma+Suspect vs Healthy,0.8161943319838056,Unimodal
0.18461538461538463,0.983739837398374,0.2119807675480842,Fundus,Glaucoma+Suspect vs Healthy,0.8153846153846154,Unimodal
0.1854251012145749,0.983739837398374,0.2120309099555015,Fundus,Glaucoma+Suspect vs Healthy,0.8145748987854251,Unimodal
0.1862348178137652,0.983739837398374,0.21218296140432355,Fundus,Glaucoma+Suspect vs Healthy,0.8137651821862348,Unimodal
0.18704453441295546,0.983739837398374,0.21239007264375687,Fundus,Glaucoma+Suspect vs Healthy,0.8129554655870446,Unimodal
0.18785425101214576,0.983739837398374,0.2126365005970001,Fundus,Glaucoma+Suspect vs Healthy,0.8121457489878543,Unimodal
0.18866396761133603,0.983739837398374,0.2128559499979019,Fundus,Glaucoma+Suspect vs Healthy,0.811336032388664,Unimodal
0.18947368421052632,0.983739837398374,0.2130213007330894,Fundus,Glaucoma+Suspect vs Healthy,0.8105263157894737,Unimodal
