Domain,Model,Model_Type,Outcome,Threshold,Specificity,Sensitivity,FPR
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2128559499979019,0.16825775656324582,0.9705882352941176,0.8317422434367542
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2130993604660034,0.16945107398568018,0.9705882352941176,0.8305489260143198
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21365371346473688,0.17064439140811455,0.9705882352941176,0.8293556085918854
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2140651494264602,0.1730310262529833,0.9705882352941176,0.8269689737470167
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21433515846729273,0.17422434367541767,0.9705882352941176,0.8257756563245824
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21476469933986658,0.17541766109785203,0.9705882352941176,0.8245823389021479
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21542589366436,0.17780429594272076,0.9705882352941176,0.8221957040572793
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21607521921396255,0.17899761336515513,0.9705882352941176,0.8210023866348448
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21637795120477676,0.18138424821002386,0.9705882352941176,0.8186157517899761
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2167374566197395,0.18257756563245822,0.9705882352941176,0.8174224343675418
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21712148189544675,0.18496420047732698,0.9705882352941176,0.815035799522673
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21725612878799433,0.1873508353221957,0.9705882352941176,0.8126491646778042
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21729385107755655,0.18854415274463007,0.9705882352941176,0.8114558472553699
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21737638860940928,0.18973747016706444,0.9705882352941176,0.8102625298329356
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21756356954574585,0.1909307875894988,0.9705882352941176,0.8090692124105012
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2178221046924591,0.19331742243436753,0.9705882352941176,0.8066825775656324
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21801251918077463,0.19451073985680192,0.9705882352941176,0.8054892601431981
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.218319684267044,0.1957040572792363,0.9705882352941176,0.8042959427207637
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2187305018305778,0.19689737470167065,0.9705882352941176,0.8031026252983293
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21893984824419022,0.19809069212410502,0.9705882352941176,0.801909307875895
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21903371065855026,0.19809069212410502,0.9558823529411765,0.801909307875895
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21908710151910782,0.19928400954653938,0.9558823529411765,0.8007159904534606
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21921577304601664,0.20047732696897375,0.9558823529411765,0.7995226730310263
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2196370884776115,0.2016706443914081,0.9558823529411765,0.7983293556085919
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22030794620513916,0.20405727923627684,0.9558823529411765,0.7959427207637232
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22073371708393094,0.2052505966587112,0.9558823529411765,0.7947494033412887
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22083158791065216,0.2064439140811456,0.9558823529411765,0.7935560859188544
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2209464833140373,0.20763723150357996,0.9558823529411765,0.7923627684964201
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22102941572666163,0.20763723150357996,0.9485294117647058,0.7923627684964201
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22105510532855985,0.20883054892601433,0.9485294117647058,0.7911694510739857
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2210764735937118,0.2100238663484487,0.9485294117647058,0.7899761336515513
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22124244272708884,0.21121718377088305,0.9485294117647058,0.788782816229117
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22141131758689875,0.21241050119331742,0.9485294117647058,0.7875894988066826
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22142591327428815,0.21360381861575178,0.9485294117647058,0.7863961813842482
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2214512601494789,0.21479713603818615,0.9485294117647058,0.7852028639618138
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22154857218265528,0.2159904534606205,0.9485294117647058,0.7840095465393795
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2217795550823211,0.2171837708830549,0.9485294117647058,0.7828162291169452
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2219513803720474,0.21837708830548927,0.9485294117647058,0.7816229116945107
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22204335033893585,0.220763723150358,0.9485294117647058,0.779236276849642
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2221362069249153,0.22195704057279236,0.9485294117647058,0.7780429594272076
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22221819311380386,0.22315035799522673,0.9485294117647058,0.7768496420047732
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2228254452347755,0.2243436754176611,0.9485294117647058,0.7756563245823389
